genomicFeature,treatment,propOverlap,propOverlap_sum,proportion_overlap
exons,CC,862,1557,0.5536287732819525
introns,CC,524,1557,0.3365446371226718
UTRs,CC,171,1557,0.10982658959537572
exons,CH,308,519,0.5934489402697495
introns,CH,187,519,0.3603082851637765
UTRs,CH,24,519,0.046242774566473986
exons,HC,862,1601,0.5384134915677702
introns,HC,585,1601,0.3653966271080575
UTRs,HC,154,1601,0.09618988132417239
exons,HH,890,1659,0.5364677516576251
introns,HH,611,1659,0.3682941531042797
UTRs,HH,158,1659,0.09523809523809523
exons,allCpG,13793,56848,0.24262946805516464
introns,allCpG,39509,56848,0.6949936673233886
UTRs,allCpG,3546,56848,0.06237686462144666
