"","ID","Description","enrichmentScore","p.adjust","GeneralPathway","DetailedPathway"
"cvn01040","cvn01040","Biosynthesis of unsaturated fatty acids",0.593027071449145,0.678087406730623,"Metabolism","Lipid metabolism"
"cvn00592","cvn00592","alpha-Linolenic acid metabolism",0.658077200165329,0.678087406730623,"Metabolism","Lipid metabolism"
"cvn00450","cvn00450","Selenocompound metabolism",-0.657029086788325,0.678087406730623,"Metabolism","Metabolism of other amino acids"
"cvn00980","cvn00980","Metabolism of xenobiotics by cytochrome P450",0.562985211374998,0.678087406730623,"Metabolism","Xenobiotics biodegradation and metabolism"
"cvn00270","cvn00270","Cysteine and methionine metabolism",-0.470024456191766,0.678087406730623,"Metabolism","Amino acid metabolism"
"cvn00670","cvn00670","One carbon pool by folate",-0.531385451062238,0.678087406730623,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00591","cvn00591","Linoleic acid metabolism",0.58166077197466,0.678087406730623,"Metabolism","Lipid metabolism"
"cvn00040","cvn00040","Pentose and glucuronate interconversions",-0.588076283634184,0.678087406730623,"Metabolism","Carbohydrate metabolism"
"cvn00630","cvn00630","Glyoxylate and dicarboxylate metabolism",-0.449701147562402,0.678087406730623,"Metabolism","Carbohydrate metabolism"
"cvn04120","cvn04120","Ubiquitin mediated proteolysis",-0.365919817580939,0.678087406730623,"Genetic Information Processing","Folding, sorting and degradation"
"cvn03460","cvn03460","Fanconi anemia pathway",-0.440897751766136,0.678087406730623,"Genetic Information Processing","Replication and repair"
"cvn00510","cvn00510","N-Glycan biosynthesis",0.429736740603745,0.678087406730623,"Metabolism","Glycan biosynthesis and metabolism"
"cvn04146","cvn04146","Peroxisome",0.359559261863151,0.678087406730623,"Cellular Processes","Transport and catabolism"
"cvn03050","cvn03050","Proteasome",0.441848250127865,0.678087406730623,"Genetic Information Processing","Folding, sorting and degradation"
"cvn00500","cvn00500","Starch and sucrose metabolism",-0.48199573389045,0.678087406730623,"Metabolism","Carbohydrate metabolism"
"cvn04148","cvn04148","Efferocytosis",-0.361082052263299,0.678087406730623,"Cellular Processes","Transport and catabolism"
"cvn00260","cvn00260","Glycine, serine and threonine metabolism",-0.435676819378766,0.678087406730623,"Metabolism","Amino acid metabolism"
"cvn04330","cvn04330","Notch signaling pathway",-0.451004351166629,0.678087406730623,"Environmental Information Processing","Signal transduction"
"cvn00983","cvn00983","Drug metabolism",0.39621199631311,0.678087406730623,"Metabolism","Xenobiotics biodegradation and metabolism"
"cvn01240","cvn01240","Biosynthesis of cofactors",0.327711495697414,0.678087406730623,"NA","NA"
"cvn03008","cvn03008","Ribosome biogenesis in eukaryotes",-0.383902141004435,0.678087406730623,"Genetic Information Processing","Translation"
"cvn04150","cvn04150","mTOR signaling pathway",-0.350210234673886,0.678087406730623,"Environmental Information Processing","Signal transduction"
"cvn00100","cvn00100","Steroid biosynthesis",-0.596120261838936,0.679035250463822,"Metabolism","Lipid metabolism"
"cvn03060","cvn03060","Protein export",-0.502800333047628,0.679035250463822,"Genetic Information Processing","Folding, sorting and degradation"
"cvn03030","cvn03030","DNA replication",-0.42233849486252,0.679035250463822,"Genetic Information Processing","Replication and repair"
"cvn04145","cvn04145","Phagosome",-0.378510808962209,0.679035250463822,"Cellular Processes","Transport and catabolism"
"cvn03430","cvn03430","Mismatch repair",-0.454700527441092,0.679035250463822,"Genetic Information Processing","Replication and repair"
"cvn00410","cvn00410","beta-Alanine metabolism",0.393758708268011,0.679035250463822,"Metabolism","Metabolism of other amino acids"
"cvn00330","cvn00330","Arginine and proline metabolism",-0.376346704984966,0.679035250463822,"Metabolism","Amino acid metabolism"
"cvn02010","cvn02010","ABC transporters",-0.390751074556559,0.679035250463822,"Environmental Information Processing","Membrane transport"
"cvn00970","cvn00970","Aminoacyl-tRNA biosynthesis",-0.377033304946943,0.679035250463822,"Genetic Information Processing","Translation"
"cvn03015","cvn03015","mRNA surveillance pathway",0.324796846943395,0.679035250463822,"Genetic Information Processing","Translation"
"cvn04141","cvn04141","Protein processing in endoplasmic reticulum",0.297531405198058,0.679035250463822,"Genetic Information Processing","Folding, sorting and degradation"
"cvn00350","cvn00350","Tyrosine metabolism",-0.510772965174271,0.686088794926004,"Metabolism","Amino acid metabolism"
"cvn00515","cvn00515","Mannose type O-glycan biosynthesis",-0.546658707777982,0.686088794926004,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00860","cvn00860","Porphyrin metabolism",0.429968117035438,0.686088794926004,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00514","cvn00514","Other types of O-glycan biosynthesis",-0.401914062982045,0.686088794926004,"Metabolism","Glycan biosynthesis and metabolism"
"cvn03272","cvn03272","Virion",0.48690779009416,0.686088794926004,"Genetic Information Processing","Information processing in viruses"
"cvn00360","cvn00360","Phenylalanine metabolism",-0.518752365680558,0.686088794926004,"Metabolism","Amino acid metabolism"
"cvn00512","cvn00512","Mucin type O-glycan biosynthesis",-0.473957379101972,0.686088794926004,"Metabolism","Glycan biosynthesis and metabolism"
"cvn03420","cvn03420","Nucleotide excision repair",-0.355663320525474,0.686088794926004,"Genetic Information Processing","Replication and repair"
"cvn00830","cvn00830","Retinol metabolism",-0.413170870944647,0.686088794926004,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00601","cvn00601","Glycosphingolipid biosynthesis",0.438233640417676,0.686088794926004,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00620","cvn00620","Pyruvate metabolism",-0.370355387834565,0.686088794926004,"Metabolism","Carbohydrate metabolism"
"cvn04137","cvn04137","Mitophagy",-0.330102310098889,0.686088794926004,"Cellular Processes","Transport and catabolism"
"cvn00982","cvn00982","Drug metabolism",0.396594474660381,0.686088794926004,"Metabolism","Xenobiotics biodegradation and metabolism"
"cvn04068","cvn04068","FoxO signaling pathway",-0.324760370968079,0.686088794926004,"Environmental Information Processing","Signal transduction"
"cvn00310","cvn00310","Lysine degradation",-0.376193486208674,0.686088794926004,"Metabolism","Amino acid metabolism"
"cvn03082","cvn03082","ATP-dependent chromatin remodeling",0.296155296745376,0.686088794926004,"Genetic Information Processing","Chromosome"
"cvn01250","cvn01250","Biosynthesis of nucleotide sugars",-0.370817554062608,0.686088794926004,"NA","NA"
"cvn00513","cvn00513","Various types of N-glycan biosynthesis",0.342010249370117,0.686088794926004,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00010","cvn00010","Glycolysis / Gluconeogenesis",0.3236046057875,0.686088794926004,"Metabolism","Carbohydrate metabolism"
"cvn04820","cvn04820","Cytoskeleton in muscle cells",0.297026600113213,0.686088794926004,"Cellular Processes","Cell motility"
"cvn03013","cvn03013","Nucleocytoplasmic transport",0.279998804588477,0.686088794926004,"Genetic Information Processing","Translation"
"cvn03040","cvn03040","Spliceosome",-0.298957633517698,0.686088794926004,"Genetic Information Processing","Transcription"
"cvn00053","cvn00053","Ascorbate and aldarate metabolism",0.443272858703784,0.701984126984127,"Metabolism","Carbohydrate metabolism"
"cvn00051","cvn00051","Fructose and mannose metabolism",-0.37135664467809,0.701984126984127,"Metabolism","Carbohydrate metabolism"
"cvn04070","cvn04070","Phosphatidylinositol signaling system",-0.321892124778186,0.701984126984127,"Environmental Information Processing","Signal transduction"
"cvn03010","cvn03010","Ribosome",-0.299698642405757,0.701984126984127,"Genetic Information Processing","Translation"
"cvn03083","cvn03083","Polycomb repressive complex",-0.343456187748997,0.701984126984127,"Genetic Information Processing","Chromosome"
"cvn00430","cvn00430","Taurine and hypotaurine metabolism",-0.455168984791271,0.708097928436911,"Metabolism","Metabolism of other amino acids"
"cvn00640","cvn00640","Propanoate metabolism",0.342900165335925,0.710057821059038,"Metabolism","Carbohydrate metabolism"
"cvn00760","cvn00760","Nicotinate and nicotinamide metabolism",-0.363040987393892,0.746086105675147,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00052","cvn00052","Galactose metabolism",-0.382444950444319,0.758116616479606,"Metabolism","Carbohydrate metabolism"
"cvn03020","cvn03020","RNA polymerase",0.390187070557825,0.758116616479606,"Genetic Information Processing","Transcription"
