"","ID","Description","enrichmentScore","GeneralPathway","DetailedPathway"
"cvn00592","cvn00592","alpha-Linolenic acid metabolism",0.781258994783818,"Metabolism","Lipid metabolism"
"cvn01040","cvn01040","Biosynthesis of unsaturated fatty acids",0.542454995377966,"Metabolism","Lipid metabolism"
"cvn00310","cvn00310","Lysine degradation",-0.489671395402306,"Metabolism","Amino acid metabolism"
"cvn03008","cvn03008","Ribosome biogenesis in eukaryotes",-0.422336853288594,"Genetic Information Processing","Translation"
"cvn04146","cvn04146","Peroxisome",0.345877741053317,"Cellular Processes","Transport and catabolism"
"cvn04068","cvn04068","FoxO signaling pathway",-0.395891994090078,"Environmental Information Processing","Signal transduction"
"cvn04148","cvn04148","Efferocytosis",-0.369893919272632,"Cellular Processes","Transport and catabolism"
"cvn00514","cvn00514","Other types of O-glycan biosynthesis",-0.469837816228599,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00591","cvn00591","Linoleic acid metabolism",0.571629243127509,"Metabolism","Lipid metabolism"
"cvn04980","cvn04980","Cobalamin transport and metabolism",0.537563262654017,"Organismal Systems","Digestive system"
"cvn03030","cvn03030","DNA replication",-0.442106147936871,"Genetic Information Processing","Replication and repair"
"cvn00500","cvn00500","Starch and sucrose metabolism",-0.484043601209695,"Metabolism","Carbohydrate metabolism"
"cvn04150","cvn04150","mTOR signaling pathway",-0.362493917973131,"Environmental Information Processing","Signal transduction"
"cvn03082","cvn03082","ATP-dependent chromatin remodeling",0.333242478628535,"Genetic Information Processing","Chromosome"
"cvn00100","cvn00100","Steroid biosynthesis",-0.565141931872072,"Metabolism","Lipid metabolism"
"cvn03050","cvn03050","Proteasome",0.40857781323292,"Genetic Information Processing","Folding, sorting and degradation"
"cvn00270","cvn00270","Cysteine and methionine metabolism",-0.3912478541588,"Metabolism","Amino acid metabolism"
"cvn00515","cvn00515","Mannose type O-glycan biosynthesis",-0.55185436385766,"Metabolism","Glycan biosynthesis and metabolism"
"cvn04136","cvn04136","Autophagy",0.414161866626583,"Cellular Processes","Transport and catabolism"
"cvn00603","cvn00603","Glycosphingolipid biosynthesis",-0.522897590626383,"Metabolism","Glycan biosynthesis and metabolism"
"cvn03040","cvn03040","Spliceosome",-0.339326154237842,"Genetic Information Processing","Transcription"
"cvn00564","cvn00564","Glycerophospholipid metabolism",0.346760719234452,"Metabolism","Lipid metabolism"
"cvn03430","cvn03430","Mismatch repair",-0.44098489490211,"Genetic Information Processing","Replication and repair"
"cvn00512","cvn00512","Mucin type O-glycan biosynthesis",-0.481552688959929,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00760","cvn00760","Nicotinate and nicotinamide metabolism",0.401081908405209,"Metabolism","Metabolism of cofactors and vitamins"
"cvn03015","cvn03015","mRNA surveillance pathway",0.318519385702061,"Genetic Information Processing","Translation"
"cvn00910","cvn00910","Nitrogen metabolism",-0.525084015742162,"Metabolism","Energy metabolism"
"cvn00534","cvn00534","Glycosaminoglycan biosynthesis",-0.46884128633177,"Metabolism","Glycan biosynthesis and metabolism"
"cvn03060","cvn03060","Protein export",-0.446519365197582,"Genetic Information Processing","Folding, sorting and degradation"
"cvn00330","cvn00330","Arginine and proline metabolism",-0.358476728566947,"Metabolism","Amino acid metabolism"
"cvn00051","cvn00051","Fructose and mannose metabolism",-0.398534207934978,"Metabolism","Carbohydrate metabolism"
"cvn00220","cvn00220","Arginine biosynthesis",-0.477902459217181,"Metabolism","Amino acid metabolism"
"cvn00430","cvn00430","Taurine and hypotaurine metabolism",-0.471471000752737,"Metabolism","Metabolism of other amino acids"
"cvn03420","cvn03420","Nucleotide excision repair",-0.351704464782022,"Genetic Information Processing","Replication and repair"
"cvn00532","cvn00532","Glycosaminoglycan biosynthesis",-0.489176564692047,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00980","cvn00980","Metabolism of xenobiotics by cytochrome P450",0.42400496577785,"Metabolism","Xenobiotics biodegradation and metabolism"
"cvn00350","cvn00350","Tyrosine metabolism",-0.459961545244106,"Metabolism","Amino acid metabolism"
"cvn00790","cvn00790","Folate biosynthesis",0.453519074153688,"Metabolism","Metabolism of cofactors and vitamins"
"cvn03460","cvn03460","Fanconi anemia pathway",-0.353663956449396,"Genetic Information Processing","Replication and repair"
"cvn04120","cvn04120","Ubiquitin mediated proteolysis",-0.298525337553733,"Genetic Information Processing","Folding, sorting and degradation"
"cvn01250","cvn01250","Biosynthesis of nucleotide sugars",-0.3703955663847,"NA","NA"
"cvn00380","cvn00380","Tryptophan metabolism",-0.375988835260856,"Metabolism","Amino acid metabolism"
"cvn03010","cvn03010","Ribosome",-0.312070359537548,"Genetic Information Processing","Translation"
"cvn04310","cvn04310","Wnt signaling pathway",0.289548668188068,"Environmental Information Processing","Signal transduction"
"cvn00630","cvn00630","Glyoxylate and dicarboxylate metabolism",-0.352604587372807,"Metabolism","Carbohydrate metabolism"
"cvn00450","cvn00450","Selenocompound metabolism",0.435556301431271,"Metabolism","Metabolism of other amino acids"
"cvn00565","cvn00565","Ether lipid metabolism",0.408683791567486,"Metabolism","Lipid metabolism"
"cvn01230","cvn01230","Biosynthesis of amino acids",0.284821058692615,"NA","NA"
"cvn00052","cvn00052","Galactose metabolism",-0.392738196411691,"Metabolism","Carbohydrate metabolism"
"cvn01210","cvn01210","2-Oxocarboxylic acid metabolism",0.335916334121355,"NA","NA"
"cvn04137","cvn04137","Mitophagy",-0.314380422063937,"Cellular Processes","Transport and catabolism"
"cvn02010","cvn02010","ABC transporters",-0.340319524535699,"Environmental Information Processing","Membrane transport"
"cvn00650","cvn00650","Butanoate metabolism",0.374658495517674,"Metabolism","Carbohydrate metabolism"
"cvn00970","cvn00970","Aminoacyl-tRNA biosynthesis",-0.331652254787901,"Genetic Information Processing","Translation"
"cvn04140","cvn04140","Autophagy",0.259524032004404,"Cellular Processes","Transport and catabolism"
"cvn01200","cvn01200","Carbon metabolism",0.252060822032104,"NA","NA"
"cvn00040","cvn00040","Pentose and glucuronate interconversions",-0.443589521737977,"Metabolism","Carbohydrate metabolism"
"cvn03022","cvn03022","Basal transcription factors",-0.355814237777006,"Genetic Information Processing","Transcription"
"cvn04070","cvn04070","Phosphatidylinositol signaling system",-0.307239145114888,"Environmental Information Processing","Signal transduction"
"cvn00531","cvn00531","Glycosaminoglycan degradation",-0.408489057663114,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00860","cvn00860","Porphyrin metabolism",-0.386054032777978,"Metabolism","Metabolism of cofactors and vitamins"
"cvn04512","cvn04512","ECM-receptor interaction",-0.365560339645773,"Environmental Information Processing","Signaling molecules and interaction"
"cvn03250","cvn03250","Viral life cycle",0.329157889601327,"Genetic Information Processing","Information processing in viruses"
"cvn03083","cvn03083","Polycomb repressive complex",-0.328146519751785,"Genetic Information Processing","Chromosome"
"cvn00600","cvn00600","Sphingolipid metabolism",-0.320158407165178,"Metabolism","Lipid metabolism"
"cvn04145","cvn04145","Phagosome",-0.302155576343119,"Cellular Processes","Transport and catabolism"
"cvn03450","cvn03450","Non-homologous end-joining",0.403842324523256,"Genetic Information Processing","Replication and repair"
"cvn00620","cvn00620","Pyruvate metabolism",-0.322052642431128,"Metabolism","Carbohydrate metabolism"
"cvn04142","cvn04142","Lysosome",-0.269815037089854,"Cellular Processes","Transport and catabolism"
