"","ID","Description","enrichmentScore","GeneralPathway","DetailedPathway"
"cvn00450","cvn00450","Selenocompound metabolism",0.752424106135792,"Metabolism","Metabolism of other amino acids"
"cvn00330","cvn00330","Arginine and proline metabolism",0.457385456841151,"Metabolism","Amino acid metabolism"
"cvn04141","cvn04141","Protein processing in endoplasmic reticulum",-0.386094358424533,"Genetic Information Processing","Folding, sorting and degradation"
"cvn00860","cvn00860","Porphyrin metabolism",-0.57937618120292,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00670","cvn00670","One carbon pool by folate",0.561717449979001,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00071","cvn00071","Fatty acid degradation",0.457258539984234,"Metabolism","Lipid metabolism"
"cvn01240","cvn01240","Biosynthesis of cofactors",-0.362936936355834,"NA","NA"
"cvn03450","cvn03450","Non-homologous end-joining",0.612067492642008,"Genetic Information Processing","Replication and repair"
"cvn00592","cvn00592","alpha-Linolenic acid metabolism",0.64379341636097,"Metabolism","Lipid metabolism"
"cvn00360","cvn00360","Phenylalanine metabolism",0.643839150489262,"Metabolism","Amino acid metabolism"
"cvn00531","cvn00531","Glycosaminoglycan degradation",-0.59179562660415,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00280","cvn00280","Valine, leucine and isoleucine degradation",0.395723513835426,"Metabolism","Amino acid metabolism"
"cvn00510","cvn00510","N-Glycan biosynthesis",-0.446161166708569,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00760","cvn00760","Nicotinate and nicotinamide metabolism",0.474104773248723,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00010","cvn00010","Glycolysis / Gluconeogenesis",-0.397551609279577,"Metabolism","Carbohydrate metabolism"
"cvn01212","cvn01212","Fatty acid metabolism",0.385539967493829,"NA","NA"
"cvn00310","cvn00310","Lysine degradation",-0.4160182616643,"Metabolism","Amino acid metabolism"
"cvn00513","cvn00513","Various types of N-glycan biosynthesis",-0.417927782453368,"Metabolism","Glycan biosynthesis and metabolism"
"cvn01210","cvn01210","2-Oxocarboxylic acid metabolism",0.418639692923098,"NA","NA"
"cvn00983","cvn00983","Drug metabolism",-0.401850258602343,"Metabolism","Xenobiotics biodegradation and metabolism"
