"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"cvn00053","cvn00053","Ascorbate and aldarate metabolism",12,0.751338073105625,1.62700880222334,0.00618653977873712,0.253798271377794,0.229621750528844,2374,"tags=58%, list=18%, signal=48%","111124535/111103451/111124599/111127562/111112920/111115614/111103498"
"cvn00910","cvn00910","Nitrogen metabolism",10,0.775184069219058,1.61186185570029,0.0109592285691333,0.253798271377794,0.229621750528844,1398,"tags=50%, list=10%, signal=45%","111134700/111100398/111100399/111126492/111135592"
"cvn00511","cvn00511","Other glycan degradation",37,0.591749892928689,1.57898534909439,0.0132006563975181,0.253798271377794,0.229621750528844,2221,"tags=30%, list=16%, signal=25%","111106921/111106925/111106928/111119851/111119435/111120040/111113388/111119434/111106926/111119431/111106930"
"cvn00592","cvn00592","alpha-Linolenic acid metabolism",11,0.737766627865726,1.56450140476812,0.0188775573752078,0.253798271377794,0.229621750528844,1602,"tags=45%, list=12%, signal=40%","111113990/111115744/111107112/111115745/111124908"
"cvn03250","cvn03250","Viral life cycle - HIV-1",28,0.602353909808685,1.5338782861785,0.0150971967125789,0.253798271377794,0.229621750528844,2628,"tags=46%, list=19%, signal=37%","111124701/111124696/111129825/111111579/111108190/111135084/111128997/111124977/111106750/111123417/111130886/111104027/111135329"
"cvn00380","cvn00380","Tryptophan metabolism",31,0.583848035818172,1.51755657401239,0.0180754762457855,0.253798271377794,0.229621750528844,2374,"tags=42%, list=18%, signal=35%","111127901/111100724/111103451/111134248/111133558/111112920/111115614/111121380/111125148/111109254/111130627/111108303/111103498"
"cvn03015","cvn03015","mRNA surveillance pathway",61,0.536130034859233,1.51217223989904,0.00753732699029765,0.253798271377794,0.229621750528844,1968,"tags=36%, list=15%, signal=31%","111135039/111127981/111101410/111100273/111134286/111121238/111129219/111132883/111122880/111118318/111103910/111119442/111126090/111138352/111108043/111130886/111118849/111136672/111104361/111129063/111135694/111129838"
"cvn00071","cvn00071","Fatty acid degradation",38,0.565727693837196,1.51076829870438,0.0175600532337749,0.253798271377794,0.229621750528844,3018,"tags=42%, list=22%, signal=33%","111127947/111113990/111128659/111115744/111107112/111115745/111103451/111112920/111115614/111135553/111121380/111117093/111103498/111129333/111107779/111134458"
"cvn04814","cvn04814","Motor proteins",111,0.482536200608548,1.42544199297625,0.00721689066559372,0.253798271377794,0.229621750528844,1179,"tags=18%, list=9%, signal=17%","111136151/111134768/111107338/111102596/111112439/111103394/111115784/111129526/111107250/111127380/111134843/111137068/111131563/111119946/111134888/111120500/111129376/111130940/111125250/111131555"
"cvn00052","cvn00052","Galactose metabolism",21,0.648481226977762,1.57723045550365,0.0220508848453773,0.254617722702829,0.230363141897296,2261,"tags=38%, list=17%, signal=32%","111101197/111118471/111101820/111113388/111109442/111099882/111120703/111118006"
"cvn00280","cvn00280","Valine, leucine and isoleucine degradation",50,0.516174832276599,1.42760469804752,0.024306526531713,0.254617722702829,0.230363141897296,2374,"tags=28%, list=18%, signal=23%","111127947/111113990/111122171/111115744/111115745/111103451/111108694/111112920/111115614/111135360/111111207/111109254/111121738/111103498"
"cvn03013","cvn03013","Nucleocytoplasmic transport",92,0.474878776470006,1.37364378358291,0.0267489711934156,0.254617722702829,0.230363141897296,3059,"tags=34%, list=23%, signal=26%","111101943/111124701/111101410/111124696/111121238/111130920/111129219/111101511/111121980/111118318/111124932/111103910/111129825/111126562/111119442/111138352/111108043/111136554/111135764/111104361/111129063/111125546/111120993/111111382/111125592/111104027/111113217/111135555/111134707/111111376/111108106"
"cvn04144","cvn04144","Endocytosis",132,0.445377661899761,1.32907340360648,0.027355623100304,0.254617722702829,0.230363141897296,3185,"tags=33%, list=24%, signal=25%","111120187/111125099/111112319/111119513/111112439/111119512/111136896/111104852/111102907/111107174/111136866/111125956/111134954/111112863/111116971/111112700/111135084/111133388/111134171/111121253/111115795/111127289/111129312/111134242/111121335/111121437/111129503/111135594/111106223/111123210/111125223/111105462/111104835/111104585/111104028/111133563/111105923/111119177/111101822/111104196/111137900/111112119/111123772"
"cvn03060","cvn03060","Protein export",17,-0.512085101455192,-1.59236820154043,0.0302758458180431,0.261669810284515,0.236743456020788,2375,"tags=41%, list=18%, signal=34%","111120831/111126975/111135297/111108442/111109509/111106955/111101167"
"cvn01040","cvn01040","Biosynthesis of unsaturated fatty acids",18,0.635429130375947,1.4894918330439,0.0330882352941176,0.266911764705882,0.241486068111455,1602,"tags=33%, list=12%, signal=29%","111113990/111115744/111107112/111115745/111119293/111124908"
"cvn04310","cvn04310","Wnt signaling pathway",68,0.484137100878683,1.3721172935291,0.0385818561001043,0.291775286757039,0.263981120684924,3740,"tags=44%, list=28%, signal=32%","111134796/111121723/111116519/111114913/111119203/111103827/111103778/111123003/111121740/111135857/111133687/111108759/111126345/111135231/111118435/111124929/111125644/111109809/111117024/111125819/111119924/111101169/111127135/111108394/111129084/111121739/111135006/111115059/111105834/111131147"
"cvn03460","cvn03460","Fanconi anemia pathway",41,0.519428601775681,1.40435386240415,0.0471491228070175,0.335590815273478,0.303622834175221,3198,"tags=37%, list=24%, signal=28%","111129379/111128124/111130645/111121059/111131048/111129910/111108030/111102874/111119126/111134136/111138268/111128959/111108150/111120979/111131667"
"cvn00514","cvn00514","Other types of O-glycan biosynthesis",29,0.55864730541634,1.43414158466001,0.0502857142857143,0.338031746031746,0.305831244778613,1363,"tags=28%, list=10%, signal=25%","111127037/111101197/111101820/111118946/111123056/111136634/111099105/111114547"
"cvn00430","cvn00430","Taurine and hypotaurine metabolism",13,-0.539119088587687,-1.557992309139,0.0580712347233846,0.369822073764713,0.334593263780166,3889,"tags=62%, list=29%, signal=44%","111126728/111135113/111138329/111131381/111099052/111122278/111124675/111110958"
"cvn00515","cvn00515","Mannose type O-glycan biosynthesis",10,0.684337779900265,1.42296263253592,0.0645161290322581,0.37173579109063,0.336324682674428,274,"tags=30%, list=2%, signal=29%","111127037/111101197/111101820"
