"","gene_id","gene_name","name","pair_vs_HC","GO.IDs","Term"
"1","LOC111109809","PPARD","peroxisome proliferator-activated receptor delta-like","HH","GO:0000122","DNA-templated transcription"
"2","LOC111108643","","uncharacterized LOC111108643","CH","GO:0006355","DNA-templated transcription"
"3","LOC111136099","ATMIN","ATM interactor-like","CH","GO:0006357","DNA-templated transcription"
"4","LOC111123492","PBX1","pre-B-cell leukemia transcription factor 1-like, transcript variant X11","CH, HH, CC","GO:0006357","regulation of DNA-templated transcription"
"5","LOC111119994","E2F3","transcription factor E2F3-like, transcript variant X2","CH","GO:0006357","regulation of DNA-templated transcription"
"6","LOC111134393","ZNF850","zinc finger protein 850-like","CH","GO:0006357","regulation of DNA-templated transcription"
"7","LOC111117306","ZNF239","zinc finger protein 239-like","HH","GO:0006357","DNA-templated transcription"
"8","LOC111135181","IKZF1","DNA-binding protein Ikaros-like, transcript variant X2","CH","GO:0006357","regulation of DNA-templated transcription"
"9","LOC111135253","CAMTA1","calmodulin-binding transcription activator 1-like, transcript variant X5","CH","GO:0006357","DNA-templated transcription"
"10","LOC111134206","ICE2","little elongation complex subunit 2-like, transcript variant X2","CH","GO:0042795","DNA-templated transcription"
