"","gene_id","gene_name","name","pair_vs_HC","GO.IDs","Term"
"1","LOC111106920","FUCA2","plasma alpha-L-fucosidase-like","HH","GO:0006004","carbohydrate metabolic process"
"2","LOC111104792","MAN2C1","alpha-mannosidase 2C1-like, transcript variant X2","CH","GO:0006013","carbohydrate metabolic process"
"3","LOC111099571","","histone RNA hairpin-binding protein-like","CH, HH","GO:0006398","mRNA metabolic process"
"4","LOC111119758","B2GALT1","beta-1,3-galactosyltransferase 1-like, transcript variant X1","CH","GO:0006486","carbohydrate derivative metabolic process"
"5","LOC111105293","PSMD13","26S proteasome non-ATPase regulatory subunit 13-like","CH","GO:0006511","protein catabolic process"
"6","LOC111119809","ClpP","ATP-dependent Clp protease proteolytic subunit-like","CH","GO:0006515","protein catabolic process"
"7","LOC111117551","YME1","ATP-dependent zinc metalloprotease YME1 homolog","CH","GO:0006515","protein catabolic process"
"8","LOC111137596","GOT2","aspartate aminotransferase, mitochondrial-like","CH, HH","GO:0006533","amino acid metabolic process"
"9","LOC111119107","GDH","glutamate dehydrogenase, mitochondrial-like","CH, HH","GO:0006538","amino acid metabolic process"
"10","LOC111127947","ACAA2","3-ketoacyl-CoA thiolase, mitochondrial-like","CH","GO:0006635","lipid metabolic process"
"11","LOC111135173","UGCG","ceramide glucosyltransferase-like","CH, HH","GO:0006679","carbohydrate derivative metabolic process"
"12","LOC111129934","MDH","malate dehydrogenase, cytoplasmic-like","CH","GO:0006734","nucleobase-containing small molecule metabolic process"
"13","LOC111138462","TPK1","thiamin pyrophosphokinase 1-like, transcript variant X1","CH","GO:0006772","vitamin metabolic process"
"14","LOC111130842","DHAPAT","dihydroxyacetone phosphate acyltransferase-like","CH, HH","GO:0008611","lipid metabolic process"
"15","LOC111101237","DNPH1","putative 2'-deoxynucleoside 5'-phosphate N-hydrolase 1","CH, HH","GO:0009159","nucleobase-containing small molecule metabolic process"
"16","LOC111122294","POMGnT1","protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1-like","CH, HH","GO:0016266","carbohydrate derivative metabolic process"
"17","LOC111109809","PPARD","peroxisome proliferator-activated receptor delta-like","HH","GO:0019216","lipid metabolic process"
"18","LOC111129197","EDC3","enhancer of mRNA-decapping protein 3-like","CH","GO:0031087","mRNA metabolic process"
"19","LOC111130727","","uncharacterized LOC111130727","HH","GO:0031146","protein catabolic process"
"20","LOC111133107","Trib2","tribbles homolog 2-like","CH","GO:0032436","protein catabolic process"
"21","LOC111119190","ODC","ornithine decarboxylase-like, transcript variant X1","CH","GO:0033387","amino acid metabolic process"
"22","LOC111108235","MTR3","exosome complex component MTR3-like","CH, HH","GO:0034427","mRNA metabolic process"
"23","LOC111135050","BANP","protein BANP-like, transcript variant X1","CH, HH","GO:0042177","protein catabolic process"
"24","LOC111134206","ICE2","little elongation complex subunit 2-like, transcript variant X2","CH","GO:0042795","snRNA metabolic process"
"25","LOC111133892","NECAB1","N-terminal EF-hand calcium-binding protein 1-like","CH, HH","GO:0042984","carbohydrate derivative metabolic process"
"26","LOC111117745","","uncharacterized LOC111117745, transcript variant X5","CC","GO:0043161","protein catabolic process"
"27","LOC111120860","ERCC-8","DNA excision repair protein ERCC-8-like","CH","GO:0043161","protein catabolic process"
"28","LOC111110897","TRIM71","E3 ubiquitin-protein ligase TRIM71-like, transcript variant X1","HH","GO:0043161","protein catabolic process"
"29","LOC111103019","","uncharacterized LOC111103019, transcript variant X4","CH","GO:0043161","protein catabolic process"
"30","LOC111131404","SART1","U4/U6.U5 tri-snRNP-associated protein 1-like","HH","GO:0045292","mRNA metabolic process"
"31","LOC111137641","SOCS4","suppressor of cytokine signaling 4-like","CH","GO:0046854","lipid metabolic process"
"32","LOC111111088","PSME3","proteasome activator complex subunit 3-like","CH","GO:0061136","protein catabolic process"
"33","LOC111101925","DJ-1","protein DJ-1-like","CH","GO:0106046","nucleobase-containing small molecule metabolic process"
