"","symbol","baseMean.x","log2FC.x","lfcSE.x","stat.x","pvalue.x","padj.x","name.x","baseMean.y","log2FC.y","lfcSE.y","stat.y","pvalue.y","padj.y","name.y","baseMean","log2FC","lfcSE","stat","pvalue","padj","name"
"1","LOC111103340",13.9541923937772,-1.48416090658246,0.315376979908593,-3.91328785931097,9.10478893757225e-05,0.0373047381375819,"uncharacterized LOC111103340",13.9541923937772,-2.39599134517239,0.303460671859398,-7.07172804971147,1.53016076656806e-12,1.33598336529057e-08,"uncharacterized LOC111103340",13.9541923937772,2.10981906512221,0.297181814804521,6.25818597394848,3.89481202321018e-10,8.73703707106623e-07,"uncharacterized LOC111103340"
"2","LOC111117760",138.936651163653,-1.53186274233108,0.28654878898409,-4.47345370704832,7.69662269905267e-06,0.0115018329614643,"disintegrin and metalloproteinase domain-containing protein 10-like, transcript variant X3",138.936651163653,-1.37068463046452,0.287036771697477,-3.90432425726161,9.44890248185111e-05,0.00711192823871052,"disintegrin and metalloproteinase domain-containing protein 10-like, transcript variant X3",138.936651163653,1.36385361695369,0.284553190492416,3.91439510843712,9.06311249937313e-05,0.0124418094660519,"disintegrin and metalloproteinase domain-containing protein 10-like, transcript variant X3"
"3","LOC111119327",13.2886689350667,-1.55822436420779,0.307659868516056,-4.2521774793631,2.11701976401333e-05,0.0158183716767076,"calcyphosin-like protein, transcript variant X3",13.2886689350667,-1.96429358485218,0.300599610953058,-5.7029135181412,1.17776745024051e-08,6.85539173869996e-06,"calcyphosin-like protein, transcript variant X3",13.2886689350667,2.13913395668965,0.289241625876084,6.53133500742727,6.51860068051693e-11,2.92457019531392e-07,"calcyphosin-like protein, transcript variant X3"
"4","LOC111123492",43.8575460829422,-1.29588904708631,0.213955312972107,-4.88835277122874,1.01683200262394e-06,0.00379888436180304,"pre-B-cell leukemia transcription factor 1-like, transcript variant X11",43.8575460829422,-1.62085876338203,0.208743409415993,-6.56719542531821,5.12717397214503e-11,1.13000203022267e-07,"pre-B-cell leukemia transcription factor 1-like, transcript variant X11",43.8575460829422,1.58414351460225,0.200291106005273,6.66102225511266,2.71929456683213e-11,2.44002301481847e-07,"pre-B-cell leukemia transcription factor 1-like, transcript variant X11"
"5","LOC111124465",10.6211845300967,-1.60919323693796,0.333042484172343,-4.08114069985919,4.48152146341081e-05,0.0257122313427595,"elongation factor G, mitochondrial-like",10.6211845300967,-2.18008520472295,0.326190096422346,-5.91705642167598,3.27754285931044e-09,2.60147515496722e-06,"elongation factor G, mitochondrial-like",10.6211845300967,1.92985311511931,0.320067976995106,5.24842607151852,1.53404177534981e-07,8.09703344130227e-05,"elongation factor G, mitochondrial-like"
"6","LOC111124669",35.8777006017207,-1.38140852091406,0.264997855698622,-4.26950066418951,1.95911066096141e-05,0.0158183716767076,"serine/threonine-protein kinase SIK3-like, transcript variant X1",35.8777006017207,-1.60451703509735,0.262113117980419,-5.16768121158492,2.3701612584008e-07,7.13581998175771e-05,"serine/threonine-protein kinase SIK3-like, transcript variant X1",35.8777006017207,1.45755475152391,0.255220584890062,4.73141597118461,2.22959108865525e-06,0.00064535873672592,"serine/threonine-protein kinase SIK3-like, transcript variant X1"
"7","LOC111124674",17.5402340633711,-1.45021738520887,0.272856005576643,-4.39872079294126,1.08890808925816e-05,0.0135309004753253,"gamma-glutamyltranspeptidase 1-like, transcript variant X1",17.5402340633711,-1.45606549317989,0.270720291210158,-4.45502436403494,8.3883668131876e-06,0.00116252112136414,"gamma-glutamyltranspeptidase 1-like, transcript variant X1",17.5402340633711,1.6269752515448,0.257766066349882,5.34195703508834,9.19484513031573e-08,8.0195558287074e-05,"gamma-glutamyltranspeptidase 1-like, transcript variant X1"
"8","LOC111124759",31.1193341296666,-1.13674465279842,0.222943581713547,-3.97743970013798,6.96612803290291e-05,0.0306181815657944,"protein unc-50 homolog",31.1193341296666,-1.65742815397618,0.214358899238819,-6.5657556507983,5.17696497639522e-11,1.13000203022267e-07,"protein unc-50 homolog",31.1193341296666,1.11091661759834,0.2100351164017,4.09891751602055,4.15086918866105e-05,0.0066510266481885,"protein unc-50 homolog"
"9","LOC111126993",25.8225885954662,-1.28297223523487,0.256488076919209,-4.02736941086056,5.64043764293379e-05,0.0280969000453342,"SH3 and cysteine-rich domain-containing protein 3-like, transcript variant X2",25.8225885954662,-1.66154429694177,0.250025509939386,-5.6456011119984,1.6460509380452e-08,7.14987471723959e-06,"SH3 and cysteine-rich domain-containing protein 3-like, transcript variant X2",25.8225885954662,1.62940559753991,0.240658773943576,5.7317901813267,9.93761561430516e-09,1.27386035581657e-05,"SH3 and cysteine-rich domain-containing protein 3-like, transcript variant X2"
"10","LOC111129146",17.0259884053818,1.39545071801035,0.264151099284562,4.33634658766415,1.44870454767937e-05,0.0135309004753253,"FERM domain-containing protein 8-like",17.0259884053818,1.43463197019035,0.262241444788694,4.51733314367944,6.26233394791824e-06,0.000959235749110073,"FERM domain-containing protein 8-like",17.0259884053818,-1.56889231376293,0.248873547060854,-5.29944756820797,1.16153585061245e-07,8.0195558287074e-05,"FERM domain-containing protein 8-like"
"11","LOC111133260",29.4470879831386,-1.4164533372249,0.278494254805113,-4.18842872734007,2.8089249643443e-05,0.019080261212346,"tyrosine-protein phosphatase non-receptor type 5-like",29.4470879831386,-2.05778379052706,0.271463001165645,-6.65941134800893,2.7492647464739e-11,1.13000203022267e-07,"tyrosine-protein phosphatase non-receptor type 5-like",29.4470879831386,1.5857339401153,0.266611163096303,5.01004505813892,5.44172931863252e-07,0.000203452654900373,"tyrosine-protein phosphatase non-receptor type 5-like"
