"","symbol","baseMean.x","log2FC.x","lfcSE.x","stat.x","pvalue.x","padj.x","name.x","baseMean.y","log2FC.y","lfcSE.y","stat.y","pvalue.y","padj.y","name.y"
"1","LOC111099548",42.8974879265797,-1.29970840254452,0.193997098618676,-5.41094897820014,6.26916336281424e-08,2.37982892698831e-05,"kinesin-like protein KIF17",42.8974879265797,1.07189698468782,0.186676614413864,4.40278492980201,1.06870096425494e-05,0.00213098972272434,"kinesin-like protein KIF17"
"2","LOC111099571",29.7751055334172,-1.70229325481525,0.269431961971124,-5.39020405816183,7.03777238905905e-08,2.56028294703644e-05,"histone RNA hairpin-binding protein-like",29.7751055334172,1.86856129361208,0.260560811947177,6.21183700463832,5.23687337856886e-10,9.39809296517968e-07,"histone RNA hairpin-binding protein-like"
"3","LOC111100608",22.8000404031176,-1.50101020019604,0.276460839255111,-4.52509007628976,6.0369787739578e-06,0.000941229672775456,"DDRGK domain-containing protein 1-like",22.8000404031176,1.6163954038907,0.266748302378075,5.12241461973408,3.01647695054856e-07,0.000135334238386361,"DDRGK domain-containing protein 1-like"
"4","LOC111100898",38.2397082823758,-1.32902563323141,0.234949475730911,-4.59258583095212,4.37787360768655e-06,0.000764464289374226,"uncharacterized LOC111100898, transcript variant X3",38.2397082823758,1.06992824617202,0.22819999924604,3.59302475407981,0.000326861522865684,0.0282012350449402,"uncharacterized LOC111100898, transcript variant X3"
"5","LOC111101237",34.2046505620839,-1.30594317696928,0.206412753173111,-5.11568767305625,3.12599954321611e-07,8.90551385121489e-05,"putative 2'-deoxynucleoside 5'-phosphate N-hydrolase 1",34.2046505620839,1.22793077115748,0.197262602330976,4.95750719904154,7.14033973608972e-07,0.000237297290562715,"putative 2'-deoxynucleoside 5'-phosphate N-hydrolase 1"
"6","LOC111101291",18.7541425935466,-1.86467058516429,0.284906363750071,-5.66737283053716,1.4500360012807e-08,7.14987471723959e-06,"dnaJ homolog subfamily C member 27-like",18.7541425935466,1.66274046814693,0.277544816650501,5.09013457789027,3.57809480056125e-07,0.000152886879263982,"dnaJ homolog subfamily C member 27-like"
"7","LOC111101873",16.5947452818479,-1.89619072196422,0.282128564959301,-5.83489559875546,5.38242583481904e-09,3.61491999721577e-06,"uncharacterized LOC111101873",16.5947452818479,1.72835665735395,0.274032553740533,5.39482129832547,6.85917840205711e-08,6.83860086685093e-05,"uncharacterized LOC111101873"
"8","LOC111103115",68.7021931579704,-1.13382528514087,0.214238381457544,-4.12542924908168,3.70043930460934e-05,0.00351179734440697,"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-like, transcript variant X7",68.7021931579704,1.11204677209938,0.207380817709667,4.15682984385878,3.22694148108823e-05,0.00536210109440827,"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-like, transcript variant X7"
"10","LOC111105256",15.6419708334825,-1.61379708771343,0.352866642592596,-3.86490793715521,0.000111131108641262,0.00788850170363303,"nucleolar MIF4G domain-containing protein 1-like, transcript variant X2",15.6419708334825,1.6579539593277,0.349763228583725,4.02544877295663,5.68667595570652e-05,0.00864856666958553,"nucleolar MIF4G domain-containing protein 1-like, transcript variant X2"
"11","LOC111105724",26.1052558063409,-1.50799778580155,0.246013651091601,-5.11352837624913,3.16196231116323e-07,8.90551385121489e-05,"neural Wiskott-Aldrich syndrome protein-like",26.1052558063409,1.16644821848367,0.239404673795779,3.82802977048577,0.000129173135260191,0.0153288629267878,"neural Wiskott-Aldrich syndrome protein-like"
