"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1258 0.213208386843907 2 5 "GO:0000026" "alpha-1,2-mannosyltransferase activity" 0.760227884403022
-178 0.71876607460264 2 21 "GO:0000030" "mannosyltransferase activity" 0.969745571187301
-634 0.0727813785512642 2 41 "GO:0000049" "tRNA binding" 0.578562232421911
628 0.431839420889167 6 8 "GO:0000062;GO:0120227;GO:1901567;GO:1901681" "acyl-CoA binding" 0.89145798581214
-1446 0.0548045747349313 3 9 "GO:0000146" "microfilament motor activity" 0.551591618751283
-32 0.934064101404422 2 34 "GO:0000149" "SNARE binding" 0.980125729536503
-93 0.393546363821281 3 452 "GO:0000166;GO:0036094;GO:1901265" "small molecule binding" 0.869002513739762
-649 0.223573686488303 5 18 "GO:0000175;GO:0008408;GO:0016896;GO:0004527;GO:0004532;GO:0016796" "exoribonuclease activity, producing 5'-phosphomonoesters" 0.766228265343407
234 0.799905627228201 2 6 "GO:0000217" "DNA secondary structure binding" 0.969745571187301
-329 0.699764349104044 3 7 "GO:0000254" "C-4 methylsterol oxidase activity" 0.968270626892076
-154 0.601634131072326 5 59 "GO:0000287" "magnesium ion binding" 0.922389531907839
297 0.677436178822691 2 10 "GO:0000339" "RNA cap binding" 0.95653988449764
766 0.40600671170235 2 6 "GO:0000340" "RNA 7-methylguanosine cap binding" 0.869002513739762
-308 0.760681379663861 2 5 "GO:0000900;GO:0030371" "translation repressor activity, mRNA regulatory element binding" 0.969745571187301
-210 0.0512564603210487 4 466 "GO:0000977;GO:0000976;GO:0001067;GO:1990837;GO:0003690;GO:0043565" "sequence-specific DNA binding" 0.547092372122476
-243 0.0521868773003511 2 341 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 0.547092372122476
-449 0.199200196962099 3 42 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.760227884403022
645 0.253768242551379 2 16 "GO:0001099;GO:0001098;GO:0043175;GO:0070063;GO:0000993" "basal RNA polymerase II transcription machinery binding" 0.78579113702313
-749 0.458626701957004 2 5 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 0.904699422692963
1943 0.0149961473136431 4 8 "GO:0001614;GO:0016502" "nucleotide receptor activity" 0.407203077055078
-423 0.42751678237882 6 18 "GO:0001640;GO:0098988" "adenylate cyclase inhibiting G protein-coupled glutamate receptor activity" 0.887726024586609
188 0.506078317209734 3 64 "GO:0001653" "peptide receptor activity" 0.910873849472693
324 0.41104115775722 2 33 "GO:0001664" "G protein-coupled receptor binding" 0.869002513739762
147 0.873049655250536 3 6 "GO:0001671" "ATPase activator activity" 0.969745571187301
115 0.893102841436407 2 7 "GO:0001786;GO:0072341" "modified amino acid binding" 0.973041058725468
557 0.218468214540188 2 25 "GO:0002020" "protease binding" 0.763557225076103
853 0.285339348384723 3 8 "GO:0002161" "aminoacyl-tRNA editing activity" 0.815076721349082
-145 0.0993101859925272 3 727 "GO:0003677" "DNA binding" 0.636750812804015
-561 0.18968236854513 2 28 "GO:0003682" "chromatin binding" 0.760227884403022
552 0.329032616792898 4 16 "GO:0003684" "damaged DNA binding" 0.832404972500895
396 0.642463901366684 3 7 "GO:0003688" "DNA replication origin binding" 0.925672478295671
-644 0.286072212517701 2 14 "GO:0003697" "single-stranded DNA binding" 0.815076721349082
-316 0.205432551911724 2 83 "GO:0003700" "DNA-binding transcription factor activity" 0.760227884403022
-20 0.934071363108934 2 88 "GO:0003712" "transcription coregulator activity" 0.980125729536503
-86 0.855773915278477 2 23 "GO:0003713" "transcription coactivator activity" 0.969745571187301
-223 0.538357204862221 3 39 "GO:0003714" "transcription corepressor activity" 0.919167842853541
28 0.799643758970585 3 454 "GO:0003723" "RNA binding" 0.969745571187301
566 0.385273940988075 2 12 "GO:0003725" "double-stranded RNA binding" 0.869002513739762
155 0.517851149704002 5 90 "GO:0003729" "mRNA binding" 0.914007279227564
-117 0.857401877034855 2 12 "GO:0003730" "mRNA 3'-UTR binding" 0.969745571187301
221 0.386809729890154 2 79 "GO:0003735" "structural constituent of ribosome" 0.869002513739762
776 0.183457506132281 2 15 "GO:0003743" "translation initiation factor activity" 0.753029065868549
1312 0.00948808061831647 2 20 "GO:0003746" "translation elongation factor activity" 0.37097881884489
-706 0.242448379948514 3 14 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.78579113702313
-1299 0.103953501278321 3 8 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.636750812804015
124 0.641510526981528 2 73 "GO:0003774" "motor activity" 0.925672478295671
291 0.411114503667253 3 41 "GO:0003777" "microtubule motor activity" 0.869002513739762
346 0.271231290426352 2 52 "GO:0003779" "actin binding" 0.804576853113464
-1694 0.0662304541688447 2 6 "GO:0003785" "actin monomer binding" 0.570228056624443
360 0.632321086332011 5 9 "GO:0003884" "D-amino-acid oxidase activity" 0.922389531907839
-1254 0.174019317197394 2 6 "GO:0003899" "DNA-directed 5'-3' RNA polymerase activity" 0.740106252658796
1396 0.167069376027478 3 5 "GO:0003906" "DNA-(apurinic or apyrimidinic site) endonuclease activity" 0.736182687983966
-253 0.168717084332649 2 154 "GO:0003924" "GTPase activity" 0.736182687983966
673 0.505076474568866 4 5 "GO:0003939" "L-iditol 2-dehydrogenase activity" 0.910873849472693
479 0.309803288022973 3 23 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.832404972500895
286 0.777258354016927 3 5 "GO:0003954" "NADH dehydrogenase activity" 0.969745571187301
-1032 0.196216927977428 4 8 "GO:0003988" "acetyl-CoA C-acyltransferase activity" 0.760227884403022
-352 0.622285928272164 2 10 "GO:0003993" "acid phosphatase activity" 0.922389531907839
-95 0.911401544162083 2 7 "GO:0003994" "aconitate hydratase activity" 0.97604797015659
-766 0.406108893272668 2 6 "GO:0003995" "acyl-CoA dehydrogenase activity" 0.869002513739762
-109 0.913943202671179 3 5 "GO:0004016" "adenylate cyclase activity" 0.97604797015659
746 0.321736809039468 2 9 "GO:0004017" "adenylate kinase activity" 0.832404972500895
-276 0.69982487885372 3 10 "GO:0004029;GO:0004030" "aldehyde dehydrogenase (NAD+) activity" 0.968270626892076
-220 0.796698144833345 4 7 "GO:0004032;GO:0008106;GO:0004033" "aldo-keto reductase (NADP) activity" 0.969745571187301
227 0.822482101277215 2 5 "GO:0004034" "aldose 1-epimerase activity" 0.969745571187301
394 0.62198276568437 2 8 "GO:0004035" "alkaline phosphatase activity" 0.922389531907839
1958 0.0337181213192235 3 6 "GO:0004061" "arylformamidase activity" 0.534998450773691
