"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-82 0.722223347812571 2 6 "GO:0000012" "single strand break repair" 0.951953295382718
-101 0.444755916939963 7 18 "GO:0000027" "ribosomal large subunit assembly" 0.951200807766053
303 0.0882917701314821 3 10 "GO:0000028" "ribosomal small subunit assembly" 0.556728661662401
-47 0.590436123096929 2 42 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 0.951200807766053
75 0.642639656117068 6 12 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0006611;GO:0031503" "protein export from nucleus" 0.951200807766053
-265 0.247020062765282 2 6 "GO:0000055" "ribosomal large subunit export from nucleus" 0.801241024123881
-381 0.129583847726692 4 5 "GO:0000070;GO:0000819;GO:0098813" "sister chromatid segregation" 0.684082172882769
-112 0.657026504434961 7 5 "GO:0000076" "DNA replication checkpoint" 0.951200807766053
3 0.989065551944045 6 9 "GO:0000077" "DNA damage checkpoint" 0.997069538638177
233 0.0530911501166086 7 22 "GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.513563671852159
-350 0.127224532038196 4 6 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.684082172882769
-283 0.259815960240876 6 5 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.801241024123881
-122 0.627286608555272 3 5 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.951200807766053
15 0.814560877297486 4 82 "GO:0000122;GO:0006357;GO:0045892;GO:1903507;GO:2000113;GO:1902679;GO:0010558;GO:0031327;GO:0009890;GO:0031324;GO:0051253;GO:0045934;GO:0051172" "regulation of transcription by RNA polymerase II" 0.954513100053568
-476 0.0581875979643899 3 5 "GO:0000165" "MAPK cascade" 0.513563671852159
96 0.508288743084259 2 15 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.951200807766053
-53 0.817474577165184 4 6 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.954513100053568
-397 0.0615946630030599 3 7 "GO:0000245" "spliceosomal complex assembly" 0.513563671852159
48 0.786079760269709 2 10 "GO:0000266;GO:0048285" "organelle fission" 0.951953295382718
28 0.796789101862187 2 28 "GO:0000278;GO:0007049" "mitotic cell cycle" 0.951953295382718
-158 0.331733577756752 4 12 "GO:0000281;GO:0061640;GO:0000910" "mitotic cytokinesis" 0.875622350590497
326 0.0250963352600058 2 15 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.424009452013103
-57 0.819956187270686 6 5 "GO:0000290;GO:0110156;GO:0110154" "methylguanosine-cap decapping" 0.954513100053568
311 0.17441610578999 3 6 "GO:0000350" "generation of catalytic spliceosome for second transesterification step" 0.761393384890918
-200 0.426841478378565 5 5 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.951200807766053
-171 0.240423851274506 7 15 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA processing" 0.801241024123881
-217 0.0709962862460529 2 22 "GO:0000387" "spliceosomal snRNP assembly" 0.552569457358808
136 0.0334427600355478 3 80 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380" "RNA splicing" 0.474469158004334
-58 0.654329474324725 3 19 "GO:0000413;GO:0018208" "protein peptidyl-prolyl isomerization" 0.951200807766053
-73 0.629157796220697 4 14 "GO:0000422;GO:0006914;GO:0061726;GO:0061919;GO:1903008" "autophagy" 0.951200807766053
58 0.757584515595185 2 9 "GO:0000460" "maturation of 5.8S rRNA" 0.951953295382718
109 0.355287901011546 3 23 "GO:0000462;GO:0030490" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.91360889939735
-69 0.656369927867647 2 13 "GO:0000463;GO:0000470" "maturation of LSU-rRNA" 0.951200807766053
-46 0.854265860894609 6 5 "GO:0000479;GO:0000478;GO:0000469;GO:0090502;GO:0090501;GO:0090305" "RNA phosphodiester bond hydrolysis, endonucleolytic" 0.969591752115381
-526 0.00310750845350941 7 10 "GO:0000491" "small nucleolar ribonucleoprotein complex assembly" 0.335777715179585
-592 0.00528796860041033 8 7 "GO:0000492" "box C/D snoRNP assembly" 0.335777715179585
-267 0.178871520429216 4 8 "GO:0000712" "resolution of meiotic recombination intermediates" 0.76611009693268
-18 0.816930660890452 6 54 "GO:0000723;GO:0032200;GO:0060249" "telomere organization" 0.954513100053568
58 0.437336980982849 7 59 "GO:0000724;GO:0000725;GO:0006302;GO:0006310" "DNA recombination" 0.951200807766053
92 0.588782798549003 2 11 "GO:0000727" "double-strand break repair via break-induced replication" 0.951200807766053
65 0.745597831151602 2 8 "GO:0000902" "cell morphogenesis" 0.951953295382718
47 0.553635284152704 4 51 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361" "cellular nitrogen compound catabolic process" 0.951200807766053
466 0.0633470608452002 2 5 "GO:0000972" "transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery" 0.513563671852159
-46 0.796098274261373 2 10 "GO:0001510;GO:0043414;GO:0032259" "macromolecule methylation" 0.951953295382718
57 0.789149811915956 6 7 "GO:0001522" "pseudouridine synthesis" 0.951953295382718
-582 0.0204743048226927 5 5 "GO:0001578" "microtubule bundle formation" 0.424009452013103
155 0.537024541269097 4 5 "GO:0001676" "long-chain fatty acid metabolic process" 0.951200807766053
-175 0.484941639335536 2 5 "GO:0001708" "cell fate specification" 0.951200807766053
-154 0.540717414191242 2 5 "GO:0001731" "formation of translation preinitiation complex" 0.951200807766053
42 0.620431093961697 7 44 "GO:0001932;GO:0031399;GO:0042325;GO:0032268;GO:0019220;GO:0051246;GO:0051174" "regulation of cellular protein metabolic process" 0.951200807766053
-578 0.00650024687662406 4 7 "GO:0001934;GO:0031401;GO:0042327;GO:0045937;GO:0010562" "positive regulation of protein phosphorylation" 0.335777715179585
-11 0.95540732034932 5 8 "GO:0002084;GO:0035601;GO:0042159;GO:0098734;GO:0098732;GO:0030163;GO:0042157" "protein catabolic process" 0.987689577971702
29 0.878761380337328 3 9 "GO:0002098;GO:0002097" "tRNA wobble uridine modification" 0.973067479690602
59 0.629055952198986 2 21 "GO:0002181;GO:0006412;GO:0043043" "peptide biosynthetic process" 0.951200807766053
30 0.744032599465482 2 37 "GO:0002224;GO:0002221" "toll-like receptor signaling pathway" 0.951953295382718
108 0.322228389068965 3 27 "GO:0003333;GO:0006865;GO:1905039;GO:0015849;GO:1903825;GO:0098656" "carboxylic acid transmembrane transport" 0.866972618344068
-178 0.0846581828073697 3 30 "GO:0003341;GO:0007018" "microtubule-based movement" 0.556728661662401
158 0.490529940613429 4 6 "GO:0003352;GO:0060632;GO:0051270" "regulation of cilium movement" 0.951200807766053
51 0.4608131811409 2 69 "GO:0005975" "carbohydrate metabolic process" 0.951200807766053
34 0.493578687423943 4 135 "GO:0006259" "DNA metabolic process" 0.951200807766053
-56 0.709053835817164 4 14 "GO:0006325" "chromatin organization" 0.951953295382718
-52 0.779665329031975 2 9 "GO:0006338" "chromatin remodeling" 0.951953295382718
522 0.0139167239021765 4 7 "GO:0006353" "DNA-templated transcription, termination" 0.366423742537814
-39 0.46437589508133 5 118 "GO:0006355;GO:1903506;GO:2000112;GO:2001141;GO:0010556;GO:0031326;GO:0051252;GO:0009889;GO:0019219" "regulation of RNA metabolic process" 0.951200807766053
