"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
115 0.615619626425351 2 6 "GO:0000012" "single strand break repair" 0.884600796217503
67 0.615713329525839 2 18 "GO:0000027" "ribosomal large subunit assembly" 0.884600796217503
-271 0.126911686765271 4 10 "GO:0000028" "ribosomal small subunit assembly" 0.603977404244929
179 0.0410292369161217 2 42 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 0.466945383977899
-54 0.740031948297873 7 12 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0006611;GO:0031503" "rRNA-containing ribonucleoprotein complex export from nucleus" 0.939974293221147
234 0.307125185049604 3 6 "GO:0000055" "ribosomal large subunit export from nucleus" 0.799666901490892
191 0.446132711681865 4 5 "GO:0000070;GO:0000819;GO:0098813" "sister chromatid segregation" 0.822281133694293
180 0.473277984089533 7 5 "GO:0000076" "DNA replication checkpoint" 0.826416172217877
28 0.880639453994569 5 9 "GO:0000077" "DNA damage checkpoint" 0.981947750452931
-70 0.558621405761832 7 22 "GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.870264687036138
631 0.00591527063929017 4 6 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.223794405853145
201 0.423588165169594 3 5 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.822281133694293
83 0.740625081438637 5 5 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.939974293221147
-19 0.768129177925373 5 82 "GO:0000122;GO:0006357;GO:0045892;GO:1903507;GO:2000113;GO:1902679;GO:0010558;GO:0031327;GO:0009890;GO:0031324;GO:0051253;GO:0045934;GO:0051172" "regulation of transcription by RNA polymerase II" 0.939974293221147
398 0.113454782497692 5 5 "GO:0000165" "MAPK cascade" 0.585323536976729
58 0.691638833364992 2 15 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.923866887609545
203 0.376993056990637 2 6 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.811643841141026
194 0.359819899533368 4 7 "GO:0000245" "spliceosomal complex assembly" 0.811643841141026
4 0.983534098591939 6 10 "GO:0000266;GO:0048285" "organelle fission" 0.999049133059152
109 0.308685454632779 3 28 "GO:0000278;GO:0007049" "mitotic cell cycle" 0.799666901490892
389 0.0165745754977422 3 12 "GO:0000281;GO:0061640;GO:0000910" "cytoskeleton-dependent cytokinesis" 0.372379237270279
-183 0.207777745488842 2 15 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.714565285743875
-456 0.0691181819222337 6 5 "GO:0000290;GO:0110156;GO:0110154" "RNA decapping" 0.560350974869538
-165 0.472358767184457 4 6 "GO:0000350" "generation of catalytic spliceosome for second transesterification step" 0.826416172217877
277 0.270770755856014 8 5 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.787569853182103
62 0.669949272033074 5 15 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA splicing, via spliceosome" 0.921687786372774
68 0.569991147610169 4 22 "GO:0000387" "spliceosomal snRNP assembly" 0.870264687036138
-84 0.189788541731284 6 80 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380" "RNA splicing" 0.683841253539706
48 0.709812373045876 3 19 "GO:0000413;GO:0018208" "protein peptidyl-prolyl isomerization" 0.926019590123068
206 0.171488062980182 2 14 "GO:0000422;GO:0006914;GO:0061726;GO:0061919;GO:1903008" "autophagy" 0.659793055872904
-1 0.996196545741088 2 9 "GO:0000460" "maturation of 5.8S rRNA" 0.999049133059152
