"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-59 0.523241695640232 5 5 "GO:0000012" "single strand break repair" 0.896906518614473
-9 0.872280935249379 2 15 "GO:0000027" "ribosomal large subunit assembly" 0.990412670235165
3 0.969560953852441 2 9 "GO:0000028" "ribosomal small subunit assembly" 0.990412670235165
22 0.642297016757385 6 20 "GO:0000045;GO:1905037;GO:0007033" "autophagosome organization" 0.947651336199421
79 0.280012495149704 6 8 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0006611;GO:0031503" "protein export from nucleus" 0.844040722795367
79 0.393885670637838 2 5 "GO:0000076" "DNA replication checkpoint" 0.844040722795367
79 0.280012495149704 4 8 "GO:0000077" "DNA damage checkpoint" 0.844040722795367
-1 0.984910377622747 6 15 "GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338" "regulation of kinase activity" 0.990412670235165
-7 0.928171978847711 5 7 "GO:0000082;GO:0044772;GO:0044843;GO:0044770" "mitotic cell cycle phase transition" 0.990412670235165
25 0.371876748624705 2 57 "GO:0000122;GO:0006357;GO:0045892;GO:1903507;GO:2000113;GO:1902679;GO:0010558;GO:0031327;GO:0051253;GO:0009890;GO:0031324;GO:0045934;GO:0051172" "regulation of transcription by RNA polymerase II" 0.844040722795367
31 0.581502185461034 2 14 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.902330977439536
79 0.393885670637838 2 5 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.844040722795367
-5 0.953788164145897 2 7 "GO:0000245" "spliceosomal complex assembly" 0.990412670235165
-179 0.0222110125981958 2 7 "GO:0000266;GO:0048285" "organelle fission" 0.844040722795367
50 0.294332571594787 3 19 "GO:0000278;GO:0007049" "mitotic cell cycle" 0.844040722795367
79 0.204588778203109 3 11 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 0.844040722795367
-19 0.746597753257237 2 12 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.966056708441183
79 0.350021615376697 4 6 "GO:0000350" "generation of catalytic spliceosome for second transesterification step" 0.844040722795367
79 0.393885670637838 9 5 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.844040722795367
26 0.667610079679516 7 12 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA processing" 0.955975923870659
41 0.427625474904 2 16 "GO:0000387" "spliceosomal snRNP assembly" 0.86697302259289
40 0.150813703976598 6 59 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380" "RNA splicing" 0.844040722795367
-58 0.297239137656096 3 14 "GO:0000413;GO:0018208" "peptidyl-proline modification" 0.844040722795367
