"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0376878756607438 2 7 "GO:0000012" "single strand break repair" 0.890049794286816
0 0.0992426880231828 2 19 "GO:0000027" "ribosomal large subunit assembly" 1
0 0.0637955686682223 2 12 "GO:0000028" "ribosomal small subunit assembly" 1
0 1 5 47 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 1
0 1 8 21 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0006405;GO:0006611;GO:0031503;GO:0050658;GO:0051168;GO:0050657;GO:0051236;GO:0006913;GO:0015931;GO:0051169" "nucleocytoplasmic transport" 1
0 1 3 9 "GO:0000055" "ribosomal large subunit export from nucleus" 1
0 1 2 5 "GO:0000076" "DNA replication checkpoint" 1
0 1 6 10 "GO:0000077" "DNA damage checkpoint" 1
0 1 4 23 "GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338" "regulation of kinase activity" 1
0 1 5 6 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 1
0 1 4 5 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 1
0 1 4 13 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 1
0 1 2 96 "GO:0000122;GO:0006357;GO:0045892;GO:1903507;GO:2000113;GO:1902679;GO:0010558;GO:0031327;GO:0051253;GO:0009890;GO:0031324;GO:0045934;GO:0051172" "regulation of transcription by RNA polymerase II" 1
0 1 3 5 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:1902850;GO:0051653" "establishment of mitotic spindle orientation" 1
0 1 5 5 "GO:0000165" "MAPK cascade" 1
0 1 6 8 "GO:0000183;GO:0031507;GO:0031497;GO:0070828;GO:0097549;GO:0006333;GO:0034401" "heterochromatin assembly" 1
0 1 6 16 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 1 3 6 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 1
0 1 2 8 "GO:0000245" "spliceosomal complex assembly" 1
0 1 2 30 "GO:0000278;GO:0007049" "mitotic cell cycle" 1
0 1 4 12 "GO:0000281;GO:0061640;GO:0000910" "cytoskeleton-dependent cytokinesis" 1
0 1 5 16 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 1 3 5 "GO:0000290;GO:0110156;GO:0110154" "RNA decapping" 1
0 1 2 6 "GO:0000350" "generation of catalytic spliceosome for second transesterification step" 1
0 1 8 5 "GO:0000380" "alternative mRNA splicing, via spliceosome" 1
0 1 7 15 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA processing" 1
0 1 2 24 "GO:0000387" "spliceosomal snRNP assembly" 1
0 1 4 101 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380" "RNA splicing" 1
0 1 6 23 "GO:0000413;GO:0018208" "peptidyl-proline modification" 1
0 1 2 15 "GO:0000422;GO:0006914;GO:0061726;GO:0061919;GO:1903008" "autophagy" 1
0 1 7 5 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 1 2 9 "GO:0000460" "maturation of 5.8S rRNA" 1
0 0.123794569519689 3 24 "GO:0000462;GO:0030490" "maturation of SSU-rRNA" 1
0 0.0689375310215549 2 13 "GO:0000463;GO:0000470" "maturation of LSU-rRNA" 1
0 1 4 8 "GO:0000479;GO:0000478;GO:0000469;GO:0090502;GO:0090501;GO:0090305" "RNA phosphodiester bond hydrolysis, endonucleolytic" 1
0 1 2 11 "GO:0000491" "small nucleolar ribonucleoprotein complex assembly" 1
0 1 2 8 "GO:0000492" "box C/D snoRNP assembly" 1
0 1 4 9 "GO:0000712" "resolution of meiotic recombination intermediates" 1
0 1 5 72 "GO:0000724;GO:0000725;GO:0006302;GO:0006310" "DNA recombination" 1
0 1 2 11 "GO:0000727" "double-strand break repair via break-induced replication" 1
0 1 2 9 "GO:0000902" "cell morphogenesis" 1
0 1 3 56 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361" "cellular nitrogen compound catabolic process" 1
0 1 6 6 "GO:0000971;GO:0000968;GO:0000378" "tRNA exon ligation" 1
0 1 6 5 "GO:0000972" "transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery" 1
0 1 4 14 "GO:0001510;GO:0043414;GO:0032259" "macromolecule methylation" 1
0 1 4 7 "GO:0001522" "pseudouridine synthesis" 1
0 1 3 5 "GO:0001558;GO:0040008" "regulation of growth" 1
0 1 3 6 "GO:0001578" "microtubule bundle formation" 1
0 1 2 5 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 1 2 5 "GO:0001708" "cell fate specification" 1
0 1 2 6 "GO:0001731" "formation of translation preinitiation complex" 1
0 0.220281518995463 5 45 "GO:0001932;GO:0031399;GO:0042325;GO:0032268;GO:0051246;GO:0019220;GO:0051174" "regulation of protein metabolic process" 1
0 1 3 9 "GO:0001934;GO:0031401;GO:0042327;GO:0032270;GO:0051247;GO:0045937;GO:0010562" "positive regulation of cellular protein metabolic process" 1
0 1 4 9 "GO:0002084;GO:0035601;GO:0042159;GO:0098734;GO:0098732;GO:0030163;GO:0042157" "protein catabolic process" 1
0 1 6 11 "GO:0002098;GO:0002097" "tRNA wobble base modification" 1
0 1 2 26 "GO:0002181;GO:0006412;GO:0043043" "peptide biosynthetic process" 1
0 1 5 152 "GO:0002224;GO:0002221" "toll-like receptor signaling pathway" 1
0 1 2 5 "GO:0002755" "MyD88-dependent toll-like receptor signaling pathway" 1
0 1 3 29 "GO:0003333;GO:0006865;GO:1905039;GO:0015849;GO:1903825;GO:0098656" "organic acid transport" 1
0 1 2 34 "GO:0003341;GO:0007018" "microtubule-based movement" 1
0 1 4 6 "GO:0003352;GO:0060632;GO:0051270" "regulation of cilium movement" 1
0 1 2 91 "GO:0005975" "carbohydrate metabolic process" 1
0 0.691834640458671 2 206 "GO:0006259" "DNA metabolic process" 1
0 0.0992426880231828 2 19 "GO:0006325" "chromatin organization" 1
0 1 4 14 "GO:0006338" "chromatin remodeling" 1
0 1 5 8 "GO:0006353" "DNA-templated transcription, termination" 1
0 0.529686269358735 5 134 "GO:0006355;GO:1903506;GO:2000112;GO:2001141;GO:0010556;GO:0009889;GO:0031326;GO:0051252;GO:0019219" "regulation of RNA metabolic process" 1
0 0.032621951944861 3 53 "GO:0006364;GO:0016072" "rRNA processing" 0.890049794286816
0 0.278803933530348 3 190 "GO:0006396" "RNA processing" 1
0 1 4 30 "GO:0006400;GO:0008033;GO:0006399" "tRNA metabolic process" 1
0 0.0376878756607438 2 7 "GO:0006417;GO:0010608;GO:0034248" "regulation of translation" 0.890049794286816
0 0.0482110305238692 5 9 "GO:0006473;GO:0043543" "protein acylation" 0.890049794286816
0 0.493061309920063 3 121 "GO:0006486;GO:0043413;GO:0070085" "macromolecule glycosylation" 1
0 1 3 21 "GO:0006487" "protein N-linked glycosylation" 1
0 1 6 5 "GO:0006493" "protein O-linked glycosylation" 1
0 1 2 61 "GO:0006508" "proteolysis" 1
0 1 3 16 "GO:0006511;GO:0019941;GO:0043632;GO:0051603" "ubiquitin-dependent protein catabolic process" 1
0 0.171045065774402 3 34 "GO:0006518;GO:0043604" "peptide metabolic process" 1
0 1 5 11 "GO:0006520" "cellular amino acid metabolic process" 1
0 1 2 6 "GO:0006575" "cellular modified amino acid metabolic process" 1
0 1 3 7 "GO:0006597;GO:0006596;GO:0008215;GO:0006595;GO:0042401;GO:0006576;GO:0009309;GO:0044106;GO:0009308" "cellular amine metabolic process" 1
0 1 5 13 "GO:0006623;GO:0006605;GO:0007034;GO:0072666;GO:0072594;GO:0072665;GO:0033365" "establishment of protein localization to organelle" 1
0 0.421702327680298 2 98 "GO:0006629" "lipid metabolic process" 1
0 1 5 22 "GO:0006631;GO:0032787" "monocarboxylic acid metabolic process" 1
0 1 4 33 "GO:0006644" "phospholipid metabolic process" 1
0 1 2 19 "GO:0006650;GO:0046486;GO:0046488" "glycerophospholipid metabolic process" 1
0 1 2 10 "GO:0006661" "phosphatidylinositol biosynthetic process" 1
0 0.0270567704643905 4 5 "GO:0006664;GO:1903509;GO:0009247;GO:0046467" "glycolipid metabolic process" 0.890049794286816
0 0.0482110305238692 2 9 "GO:0006665;GO:0006643" "membrane lipid metabolic process" 0.890049794286816
0 1 3 18 "GO:0006790" "sulfur compound metabolic process" 1
0 0.266790790191351 4 56 "GO:0006796;GO:0019637;GO:0006793" "phosphorus metabolic process" 1
0 1 4 5 "GO:0006801;GO:0072593" "superoxide metabolic process" 1
0 0.370629808571998 2 234 "GO:0006811;GO:0006810;GO:0051234;GO:0051179" "localization" 1
0 1 7 37 "GO:0006814;GO:0015672" "monovalent inorganic cation transport" 1
0 1 2 7 "GO:0006839" "mitochondrial transport" 1
0 1 2 11 "GO:0006869" "lipid transport" 1
0 1 2 6 "GO:0006884;GO:0008361" "cell volume homeostasis" 1
0 1 3 57 "GO:0006886;GO:0015031;GO:0015833;GO:0045184;GO:0042886;GO:0008104;GO:0033036" "peptide transport" 1
0 1 2 7 "GO:0006888" "endoplasmic reticulum to Golgi vesicle-mediated transport" 1
0 1 2 7 "GO:0006891" "intra-Golgi vesicle-mediated transport" 1
0 0.0270567704643905 3 5 "GO:0006897" "endocytosis" 0.890049794286816
0 1 2 44 "GO:0006928" "movement of cell or subcellular component" 1
0 0.170077472285096 2 137 "GO:0006950;GO:0050896" "response to stimulus" 1
0 1 2 9 "GO:0006955;GO:0002376" "immune response" 1
0 1 2 6 "GO:0006959" "humoral immune response" 1
0 0.111775425373539 2 106 "GO:0006974;GO:0033554;GO:0051716;GO:0006281" "cellular response to stress" 1
0 1 2 301 "GO:0006996" "organelle organization" 1
0 1 4 33 "GO:0007005" "mitochondrion organization" 1
0 1 3 7 "GO:0007007;GO:0007006;GO:0061024" "membrane organization" 1
0 1 4 81 "GO:0007010;GO:0000226" "cytoskeleton organization" 1
0 1 2 13 "GO:0007015;GO:0097435" "supramolecular fiber organization" 1
0 1 2 113 "GO:0007017" "microtubule-based process" 1
0 1 2 9 "GO:0007059;GO:0000070;GO:0000819;GO:0098813" "chromosome segregation" 1
0 1 2 13 "GO:0007154" "cell communication" 1
0 1 2 67 "GO:0007155;GO:0022610" "cell adhesion" 1
0 1 3 11 "GO:0007157;GO:0098742" "heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules" 1
