"","ID","Description","enrichmentScore","GeneralPathway","DetailedPathway"
"cvn00053","cvn00053","Ascorbate and aldarate metabolism",0.751357483106948,"Metabolism","Carbohydrate metabolism"
"cvn00910","cvn00910","Nitrogen metabolism",0.775253329157143,"Metabolism","Energy metabolism"
"cvn00592","cvn00592","alpha-Linolenic acid metabolism",0.737686852443902,"Metabolism","Lipid metabolism"
"cvn00052","cvn00052","Galactose metabolism",0.648460038365527,"Metabolism","Carbohydrate metabolism"
"cvn00511","cvn00511","Other glycan degradation",0.591543216960278,"Metabolism","Glycan biosynthesis and metabolism"
"cvn03250","cvn03250","Viral life cycle",0.60405006301517,"Genetic Information Processing","Information processing in viruses"
"cvn03060","cvn03060","Protein export",-0.511542596986771,"Genetic Information Processing","Folding, sorting and degradation"
"cvn03015","cvn03015","mRNA surveillance pathway",0.536500318578535,"Genetic Information Processing","Translation"
"cvn00380","cvn00380","Tryptophan metabolism",0.583486016992858,"Metabolism","Amino acid metabolism"
"cvn00071","cvn00071","Fatty acid degradation",0.565636518458156,"Metabolism","Lipid metabolism"
"cvn04814","cvn04814","Motor proteins",0.48194930770566,"Cellular Processes","Cell motility"
"cvn03013","cvn03013","Nucleocytoplasmic transport",0.469136075743215,"Genetic Information Processing","Translation"
"cvn04144","cvn04144","Endocytosis",0.44538533412203,"Cellular Processes","Transport and catabolism"
"cvn00430","cvn00430","Taurine and hypotaurine metabolism",-0.558361964854807,"Metabolism","Metabolism of other amino acids"
"cvn00280","cvn00280","Valine, leucine and isoleucine degradation",0.515889686389336,"Metabolism","Amino acid metabolism"
"cvn01040","cvn01040","Biosynthesis of unsaturated fatty acids",0.635269945877981,"Metabolism","Lipid metabolism"
"cvn00514","cvn00514","Other types of O-glycan biosynthesis",0.558054097904684,"Metabolism","Glycan biosynthesis and metabolism"
"cvn03460","cvn03460","Fanconi anemia pathway",0.519256012494001,"Genetic Information Processing","Replication and repair"
"cvn04310","cvn04310","Wnt signaling pathway",0.483121557022858,"Environmental Information Processing","Signal transduction"
"cvn01250","cvn01250","Biosynthesis of nucleotide sugars",0.537790076370465,"NA","NA"
"cvn00515","cvn00515","Mannose type O-glycan biosynthesis",0.684541679950103,"Metabolism","Glycan biosynthesis and metabolism"
"cvn04080","cvn04080","Neuroactive ligand-receptor interaction",0.473901068197899,"Environmental Information Processing","Signaling molecules and interaction"
"cvn01212","cvn01212","Fatty acid metabolism",0.485741156805768,"NA","NA"
"cvn01230","cvn01230","Biosynthesis of amino acids",0.452576080076392,"NA","NA"
"cvn04070","cvn04070","Phosphatidylinositol signaling system",0.459649220346011,"Environmental Information Processing","Signal transduction"
"cvn04330","cvn04330","Notch signaling pathway",0.529534067180757,"Environmental Information Processing","Signal transduction"
"cvn00562","cvn00562","Inositol phosphate metabolism",0.470541309187061,"Metabolism","Carbohydrate metabolism"
"cvn00360","cvn00360","Phenylalanine metabolism",0.625661271894128,"Metabolism","Amino acid metabolism"
"cvn00563","cvn00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0.535538622611454,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00760","cvn00760","Nicotinate and nicotinamide metabolism",0.513222387644817,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00640","cvn00640","Propanoate metabolism",0.498941294760311,"Metabolism","Carbohydrate metabolism"
"cvn00240","cvn00240","Pyrimidine metabolism",0.477929341147513,"Metabolism","Nucleotide metabolism"
"cvn04146","cvn04146","Peroxisome",0.425589017552296,"Cellular Processes","Transport and catabolism"
"cvn04512","cvn04512","ECM-receptor interaction",0.511267227448735,"Environmental Information Processing","Signaling molecules and interaction"
"cvn04140","cvn04140","Autophagy",0.402816576496721,"Cellular Processes","Transport and catabolism"
"cvn00100","cvn00100","Steroid biosynthesis",0.603586316948182,"Metabolism","Lipid metabolism"
"cvn00310","cvn00310","Lysine degradation",0.473231464770024,"Metabolism","Amino acid metabolism"
"cvn03050","cvn03050","Proteasome",-0.342043579196457,"Genetic Information Processing","Folding, sorting and degradation"
"cvn00561","cvn00561","Glycerolipid metabolism",0.461596900703599,"Metabolism","Lipid metabolism"
"cvn00500","cvn00500","Starch and sucrose metabolism",0.493160823400813,"Metabolism","Carbohydrate metabolism"
"cvn00250","cvn00250","Alanine, aspartate and glutamate metabolism",0.457789558637594,"Metabolism","Amino acid metabolism"
"cvn00350","cvn00350","Tyrosine metabolism",0.531451775107462,"Metabolism","Amino acid metabolism"
"cvn00410","cvn00410","beta-Alanine metabolism",0.462562579753072,"Metabolism","Metabolism of other amino acids"
"cvn00970","cvn00970","Aminoacyl-tRNA biosynthesis",0.435142094528501,"Genetic Information Processing","Translation"
"cvn04148","cvn04148","Efferocytosis",0.399736776904381,"Cellular Processes","Transport and catabolism"
"cvn03410","cvn03410","Base excision repair",0.432640467019866,"Genetic Information Processing","Replication and repair"
"cvn03040","cvn03040","Spliceosome",0.398738703393381,"Genetic Information Processing","Transcription"
"cvn00983","cvn00983","Drug metabolism",0.437321671943281,"Metabolism","Xenobiotics biodegradation and metabolism"
"cvn00230","cvn00230","Purine metabolism",0.397965641896163,"Metabolism","Nucleotide metabolism"
"cvn04141","cvn04141","Protein processing in endoplasmic reticulum",0.385154014116739,"Genetic Information Processing","Folding, sorting and degradation"
"cvn00062","cvn00062","Fatty acid elongation",0.544199648678098,"Metabolism","Lipid metabolism"
"cvn00010","cvn00010","Glycolysis / Gluconeogenesis",0.422439345224635,"Metabolism","Carbohydrate metabolism"
"cvn00620","cvn00620","Pyruvate metabolism",0.43169561368526,"Metabolism","Carbohydrate metabolism"
"cvn03450","cvn03450","Non-homologous end-joining",-0.387861617546082,"Genetic Information Processing","Replication and repair"
"cvn01200","cvn01200","Carbon metabolism",0.37741913069776,"NA","NA"
"cvn00601","cvn00601","Glycosphingolipid biosynthesis",0.50231281859167,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00340","cvn00340","Histidine metabolism",0.446040949197292,"Metabolism","Amino acid metabolism"
"cvn00450","cvn00450","Selenocompound metabolism",0.500439248408146,"Metabolism","Metabolism of other amino acids"
"cvn01210","cvn01210","2-Oxocarboxylic acid metabolism",0.426179511284129,"NA","NA"
"cvn04137","cvn04137","Mitophagy",0.387885572007174,"Cellular Processes","Transport and catabolism"
"cvn04142","cvn04142","Lysosome",0.36296721994257,"Cellular Processes","Transport and catabolism"
"cvn04145","cvn04145","Phagosome",-0.25142989115118,"Cellular Processes","Transport and catabolism"
"cvn00790","cvn00790","Folate biosynthesis",-0.388102114903044,"Metabolism","Metabolism of cofactors and vitamins"
"cvn04820","cvn04820","Cytoskeleton in muscle cells",0.382951601586274,"Cellular Processes","Cell motility"
"cvn03008","cvn03008","Ribosome biogenesis in eukaryotes",-0.244041778653281,"Genetic Information Processing","Translation"
"cvn03030","cvn03030","DNA replication",0.409549516397298,"Genetic Information Processing","Replication and repair"
"cvn01232","cvn01232","Nucleotide metabolism",0.386710494944754,"NA","NA"
"cvn00020","cvn00020","Citrate cycle (TCA cycle)",0.403728097206018,"Metabolism","Carbohydrate metabolism"
"cvn03440","cvn03440","Homologous recombination",0.426076861064761,"Genetic Information Processing","Replication and repair"
"cvn00260","cvn00260","Glycine, serine and threonine metabolism",0.403518107191908,"Metabolism","Amino acid metabolism"
"cvn00520","cvn00520","Amino sugar and nucleotide sugar metabolism",0.389821920767928,"Metabolism","Carbohydrate metabolism"
"cvn00770","cvn00770","Pantothenate and CoA biosynthesis",0.45109814129858,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00510","cvn00510","N-Glycan biosynthesis",0.39315872629981,"Metabolism","Glycan biosynthesis and metabolism"
"cvn03083","cvn03083","Polycomb repressive complex",0.389115163593443,"Genetic Information Processing","Chromosome"
"cvn00061","cvn00061","Fatty acid biosynthesis",0.45305318867398,"Metabolism","Lipid metabolism"
"cvn00600","cvn00600","Sphingolipid metabolism",-0.247073320899745,"Metabolism","Lipid metabolism"
"cvn00730","cvn00730","Thiamine metabolism",-0.369556134431929,"Metabolism","Metabolism of cofactors and vitamins"
"cvn03082","cvn03082","ATP-dependent chromatin remodeling",0.352665312738714,"Genetic Information Processing","Chromosome"
"cvn03018","cvn03018","RNA degradation",0.35963312756773,"Genetic Information Processing","Folding, sorting and degradation"
"cvn00040","cvn00040","Pentose and glucuronate interconversions",0.4537207774223,"Metabolism","Carbohydrate metabolism"
"cvn00534","cvn00534","Glycosaminoglycan biosynthesis",0.434539807758654,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00564","cvn00564","Glycerophospholipid metabolism",0.367236385521191,"Metabolism","Lipid metabolism"
"cvn00670","cvn00670","One carbon pool by folate",-0.308837056707414,"Metabolism","Metabolism of cofactors and vitamins"
"cvn04068","cvn04068","FoxO signaling pathway",0.350043559020527,"Environmental Information Processing","Signal transduction"
"cvn00591","cvn00591","Linoleic acid metabolism",0.449377997835592,"Metabolism","Lipid metabolism"
"cvn00220","cvn00220","Arginine biosynthesis",0.428416544077897,"Metabolism","Amino acid metabolism"
"cvn00532","cvn00532","Glycosaminoglycan biosynthesis",0.431361316459013,"Metabolism","Glycan biosynthesis and metabolism"
"cvn01240","cvn01240","Biosynthesis of cofactors",0.329819453694141,"NA","NA"
"cvn03010","cvn03010","Ribosome",0.32716709537412,"Genetic Information Processing","Translation"
"cvn00330","cvn00330","Arginine and proline metabolism",0.339185937884329,"Metabolism","Amino acid metabolism"
"cvn00480","cvn00480","Glutathione metabolism",0.351499353688711,"Metabolism","Metabolism of other amino acids"
"cvn04120","cvn04120","Ubiquitin mediated proteolysis",0.300422600251204,"Genetic Information Processing","Folding, sorting and degradation"
"cvn04136","cvn04136","Autophagy",0.351287243295367,"Cellular Processes","Transport and catabolism"
"cvn00900","cvn00900","Terpenoid backbone biosynthesis",0.355510512809742,"Metabolism","Metabolism of terpenoids and polyketides"
"cvn03430","cvn03430","Mismatch repair",0.355337711220982,"Genetic Information Processing","Replication and repair"
"cvn00051","cvn00051","Fructose and mannose metabolism",0.336988366227381,"Metabolism","Carbohydrate metabolism"
"cvn00513","cvn00513","Various types of N-glycan biosynthesis",0.327984410800369,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00630","cvn00630","Glyoxylate and dicarboxylate metabolism",0.321277640691034,"Metabolism","Carbohydrate metabolism"
"cvn04350","cvn04350","TGF-beta signaling pathway",0.320884136637273,"Environmental Information Processing","Signal transduction"
"cvn03022","cvn03022","Basal transcription factors",0.332550349454058,"Genetic Information Processing","Transcription"
"cvn00130","cvn00130","Ubiquinone and other terpenoid-quinone biosynthesis",0.385775965827876,"Metabolism","Metabolism of cofactors and vitamins"
"cvn03420","cvn03420","Nucleotide excision repair",0.297172277224663,"Genetic Information Processing","Replication and repair"
"cvn00190","cvn00190","Oxidative phosphorylation",0.289896387582118,"Metabolism","Energy metabolism"
"cvn00982","cvn00982","Drug metabolism",0.326222930167096,"Metabolism","Xenobiotics biodegradation and metabolism"
"cvn00512","cvn00512","Mucin type O-glycan biosynthesis",0.344715813885191,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00785","cvn00785","Lipoic acid metabolism",0.336458962084834,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00603","cvn00603","Glycosphingolipid biosynthesis",-0.264698122273816,"Metabolism","Glycan biosynthesis and metabolism"
