"","treatment","replicate","methyl_count","methyl_level"
"1","CC",1,78514,10.74
"2","CC",2,42458,5.81
"3","CC",3,78979,10.8
"4","CC",4,55428,7.58
"5","CC",5,28635,3.92
"6","CH",1,74413,10.18
"7","CH",2,20653,2.82
"8","CH",3,48196,6.59
"9","CH",4,75422,10.31
"10","CH",5,61892,8.46
"11","HC",1,72299,9.89
"12","HC",2,71125,9.73
"13","HC",3,75499,10.32
"14","HC",4,71055,9.72
"15","HC",5,48816,6.68
"16","HH",1,73003,9.98
"17","HH",2,61895,8.46
"18","HH",3,66738,9.13
"19","HH",4,72082,9.86
"20","HH",5,71438,9.77
