"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"1","query_1",FALSE,0.561015118471499,1,19,1,0.0526315789473684,1,"GO:0009125","GO:BP","nucleoside monophosphate catabolic process",9567,3329,"GO:0009123,GO:1901292"
"2","query_1",FALSE,0.561015118471499,1,19,1,0.0526315789473684,1,"GO:0009159","GO:BP","deoxyribonucleoside monophosphate catabolic process",9567,3363,"GO:0009125,GO:0009162"
"3","query_1",FALSE,0.708095229755988,4,6,1,0.166666666666667,0.25,"GO:0018202","GO:BP","peptidyl-histidine modification",9567,5465,"GO:0018193"
"4","query_1",FALSE,0.708095229755988,4,6,1,0.166666666666667,0.25,"GO:0017183","GO:BP","protein histidyl modification to diphthamide",9567,5352,"GO:0018202"
"5","query_1",FALSE,1,78,50,1,0.02,0.0128205128205128,"GO:0031589","GO:BP","cell-substrate adhesion",9567,7495,"GO:0007155"
"6","query_1",FALSE,1,352,16,1,0.0625,0.00284090909090909,"GO:0016311","GO:BP","dephosphorylation",9567,5262,"GO:0006796"
"7","query_1",FALSE,1,464,21,1,0.0476190476190476,0.0021551724137931,"GO:0016310","GO:BP","phosphorylation",9567,5261,"GO:0006796"
"8","query_1",FALSE,1,203,69,2,0.0289855072463768,0.00985221674876847,"GO:0016192","GO:BP","vesicle-mediated transport",9567,5229,"GO:0006810,GO:0009987"
"9","query_1",FALSE,1,58,61,1,0.0163934426229508,0.0172413793103448,"GO:0016072","GO:BP","rRNA metabolic process",9567,5160,"GO:0034660"
"10","query_1",FALSE,1,167,26,1,0.0384615384615385,0.00598802395209581,"GO:0016071","GO:BP","mRNA metabolic process",9567,5159,"GO:0016070"
"11","query_1",FALSE,1,771,24,1,0.0416666666666667,0.0012970168612192,"GO:0016043","GO:BP","cellular component organization",9567,5137,"GO:0071840"
"12","query_1",FALSE,1,769,64,2,0.03125,0.00260078023407022,"GO:0032774","GO:BP","RNA biosynthetic process",9567,8092,"GO:0009059,GO:0016070,GO:0034654"
"13","query_1",FALSE,1,169,34,3,0.0882352941176471,0.0177514792899408,"GO:0015031","GO:BP","protein transport",9567,4854,"GO:0045184,GO:0071702,GO:0071705"
"14","query_1",FALSE,1,88,33,1,0.0303030303030303,0.0113636363636364,"GO:0010876","GO:BP","lipid localization",9567,4519,"GO:0033036"
"15","query_1",FALSE,1,712,64,2,0.03125,0.00280898876404494,"GO:0010556","GO:BP","regulation of macromolecule biosynthetic process",9567,4258,"GO:0009059,GO:0031326,GO:0060255"
